DurationInMs,Strategy,FileSizeInBytes,Operation,BlockSize
30,BlockByBlockWithBufferedStream,10485760,WRITE,500
45,BlockByBlockWithBufferedStream,10485760,WRITE,50
62,BlockByBlockWithBufferedStream,10485760,WRITE,5
111,ByteByByteWithBufferedStream,10485760,WRITE,0
88,BlockByBlockWithoutBufferedStream,10485760,WRITE,500
501,BlockByBlockWithoutBufferedStream,10485760,WRITE,50
4687,BlockByBlockWithoutBufferedStream,10485760,WRITE,5
21762,ByteByByteWithoutBufferedStream,10485760,WRITE,0
7,BlockByBlockWithBufferedStream,10485760,READ,500
8,BlockByBlockWithBufferedStream,10485760,READ,50
30,BlockByBlockWithBufferedStream,10485760,READ,5
59,ByteByByteWithBufferedStream,10485760,READ,0
17,BlockByBlockWithoutBufferedStream,10485760,READ,500
165,BlockByBlockWithoutBufferedStream,10485760,READ,50
1694,BlockByBlockWithoutBufferedStream,10485760,READ,5
7623,ByteByByteWithoutBufferedStream,10485760,READ,0
